date,timestamp,media_type,media_product_type,permalink,caption,views,reach,total_interactions,saved,shares,like_count,comments_count,unavailable_metrics
2026-09-07,2026-09-06T12:10:08+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/Dc8gRMwmcf6/,毎朝巻く場所が前髪とトップだけなら、全体パーマが必要とは限りません。  前髪の丸み、顔まわりの流れ、つぶれやすいトップなど、必要な場所だけにポイントパーマを使う方法があります。全体はほぼストレートのままなので、髪質やカラー履歴に合わせて負担と変化を調整できます。  予約前でも大丈夫です。DMで「ポイント相談」と送ってく,40,16,0,0,0,0,0,
2026-09-07,2026-09-06T09:30:14+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/Dc8N-C9iDu9/,パーマをかけた翌朝、もう一度コテで巻き直していませんか？  朝は、①寝ぐせのついた根元を濡らす、②根元から乾かして毛先を下から握る、③オイルを中間から毛先へ少量なじませる。この3つで、パーマの形を戻しやすくなります。  目安は3分。髪質や長さで時間は変わるので、手順を保存しておいてください。  ※AI仕上がりイメージで,80,29,4,0,0,2,2,
2026-09-07,2026-09-06T04:30:11+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/Dc7rocuDEUv/,伸ばしかけの肩ラインが、毎朝はねて決まらないと感じていませんか？  宮之阪で相談できるワンカールロブは、肩に当たる動きを消さず、毛先の内巻きと外ハネをやわらかく混ぜる設計。顔まわりと毛先だけに軽さをつくることで、強く巻かなくても仕事と休日の両方に馴染みます。  保存して、カウンセリングで見せてください。  ※AI仕上が,69,32,2,0,0,1,1,
2026-09-07,2026-09-06T01:31:19+0000,VIDEO,REELS,https://www.instagram.com/reel/Dc7XHETHB8r/,子育て中、髪が顔にかかるだけで小さなストレスになっていませんか？  耳にかけられるコンパクトショートなら、顔まわりはすっきりしながら、トップと後頭部の丸みは残せます。襟足までつながる形に整えると、朝は乾かすだけでも収まりやすく、仕事の日にも馴染みます。  保存して、カウンセリングで見せてください。  ※AI仕上がりイメ,26,16,2,0,0,1,1,
2026-09-07,2026-09-05T22:21:04+0000,VIDEO,REELS,https://www.instagram.com/reel/Dc7BWafj8hu/,巻いても昼にはカールが取れ、朝の時間だけが増えていませんか？  枚方で相談できるミディアムパーマは、強く巻くより、大きなC・Sカールの土台をつくるのがポイント。下ろす日も、仕事で耳にかける日も、子育て中に結ぶ日も、やわらかな印象を残しやすくなります。  保存して、カウンセリングで見せてください。  ※AI仕上がりイメー,36,27,2,0,0,1,1,
2026-09-07,2026-09-05T12:10:16+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/Dc57fRWAsQy/,宮之阪で、朝ラクなデジタルパーマを相談したい方へ。大きく柔らかな動きは、乾かした後もまとまりやすく、頑張って巻かなくても自然な表情が出ます。ただし髪質・毛量・カラー履歴で適した方法は変わります。予約前でも、DMで「朝ラク相談」と希望の長さを送ってください。  ※AI仕上がりイメージです。 📍京阪宮之阪駅 徒歩1分 #デ,72,24,2,0,0,1,1,
2026-09-07,2026-09-05T09:30:14+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/Dc5pLP2CJwN/,丸顔が気になるから、顔まわりを全部隠す。実はそれより、頬からあごへ自然につながる毛束をつくる方が、軽く見えることがあります。仕事や家事で結ぶ日も、顔まわりだけ整えばきちんとした印象に。保存して、普段の結ぶ位置と一緒にカウンセリングで見せてください。  ※AI仕上がりイメージです。 📍京阪宮之阪駅 徒歩1分 #顔まわりカ,74,28,2,0,0,1,1,
2026-09-07,2026-09-05T04:30:20+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/Dc5G2rAkZgN/,正面は可愛いのに、横から見ると重く見える。そんな違和感は、後頭部の丸みと襟足の収まりで変わります。耳かけの日も、小さなクリップで留める日も、顔まわりが自然に残るニュアンスボブ。仕事にも休日にも馴染み、朝のセットも簡単です。保存して、カウンセリングで見せてください。  ※AI仕上がりイメージです。 📍京阪宮之阪駅 徒歩1,75,33,2,0,0,1,1,
2026-09-07,2026-09-05T01:31:22+0000,VIDEO,REELS,https://www.instagram.com/reel/Dc4yU2PDzbc/,「パーマはしたい。でも仕事や家事では結びたい」方へ。結べる長さを残し、顔まわりと毛先に大きく柔らかな動きをつくると、下ろす日もひとつ結びの日も扱いやすくなります。髪質やダメージ履歴で適した強さは変わるため、DMで「朝ラク相談」と送ってください。  ※AI仕上がりイメージです。 📍京阪宮之阪駅 徒歩1分 #ロングパーマ ,38,24,4,0,0,3,1,
2026-09-07,2026-09-04T22:20:58+0000,VIDEO,REELS,https://www.instagram.com/reel/Dc4cir-Dy-y/,枚方で、朝のスタイリングをラクにしたい方へ。丸みを残したショートボブは、乾かすだけでも形が崩れにくく、耳かけも自然です。襟足の生え方や毛量に合わせて、重さと軽さを調整します。保存して、予約前はDMで「朝ラク相談」と送ってください。  ※AI仕上がりイメージです。 📍京阪宮之阪駅 徒歩1分 #枚方美容室 #宮之阪美容室 ,36,27,4,0,0,3,1,
